Name	Set	ImageFile	Type	Mode
Hoist	Alpha	Hoist	Robot, Autobot	TRUCK MODE) Tow Truck [2E] In battle, return Hoist and one Autobot in CAR or TRUCK MODE to Homebase without taking damage.
Hound	Alpha	Hound	Robot, Autobot	CAR MODE) Radar [2E] During deployment, look at the top card of opponent's Supply Deck.
Huffer	Alpha	Huffer	Robot, Autobot	
Inferno	Alpha	Inferno	Robot, Autobot	TRUCK MODE) Fire Suppressant [5E] In battle, prevent any one robot from taking damage.
Ironhide	Alpha	Ironhide	Robot, Autobot	
Jazz	Alpha	Jazz	Robot, Autobot	CAR MODE) Sound Show [2E] In battle, no Decepticons may use special abilities for the remainder of the battle.
Mirage	Alpha	Mirage	Robot, Autobot	CAR MODE) Invisible Retreat [1E] Escape battle and return to Homebase without taking damage.
Optimus Prime	Alpha	Optimus_Prime	Robot, Autobot	TRUCK MODE) Semi-Slam [2e] In battle, give 3 damage to any one Decepticon regardless of battle outcome.
Perceptor	Alpha	Perceptor	Robot, Autobot	MICROSCOPE MODE) Light Cannon [2E] Scrap any one item Resource.
Powerglide	Alpha	Powerglide	Robot, Autobot	PLANE MODE) Powerglide Pow [2E] In battle, scrap the last Advantage played by opponent.  Opponent may play another instead.
Prowl	Alpha	Prowl	Robot, Autobot	CAR MODE) Patrol: While Prowl is in the field, Autobot Support Limit is +1.
Ratchet	Alpha	Ratchet	Robot, Autobot	CAR MODE) Rescue [4E] From the field, remove up to 2 damage from any robot.
Red Alert	Alpha	Red_Alert	Robot, Autobot	CAR MODE) Patrol: While Red Alert is in the field, Autobot Support Limit is +1.
Seaspray	Alpha	Seaspray	Robot, Autobot	HOVERCRAFT MODE) Ocean Support: Gain +2 STR when battle is located on a marine Resource.
Sideswipe	Alpha	Sideswipe	Robot, Autobot	
Skids	Alpha	Skids	Robot, Autobot	
Skyfire (Real Name-Jetfire)	Alpha	Skyfire_	Robot, Autobot	JET MODE) Transport [7E] In battle, add any support robot from the field or Homebase regardless of speed.  this does not count toward the Support Limit.
Slag (Dinobot)	Alpha	Slag_	Robot, Autobot	DINO MODE) Flametrow [1E] In battle, scrap any one support Robot in battle.
Sludge (Dinobot)	Alpha	Sludge_	Robot, Autobot	DINO MODE) Earthshaking Stomp [2E] In battle, prevent all Robots in battle from activating special abilities.
Smokescreen	Alpha	Smokescreen	Robot, Autobot	CAR MODE) Magnetic Smoke [E] From the field, target any one opponent Robot.  Target may not battle untile Autobot players's next action phase.
Snarl (Dinobot)	Alpha	Snarl_	Robot, Autobot	DINO MODE)  Armored Hide: In battle, gain + STR for every opponent support Robot in battle.
Sunstreaker	Alpha	Sunstreaker	Robot, Autobot	
Swoop (Dinobot)	Alpha	Swoop_	Robot, Autobot	DINO MODE) Air-to-Air Missles [2E] Deal 2 damage to any Robot.
Tracks	Alpha	Tracks	Robot, Autobot	CAR MODE) Flight [2E] Escape battle and return to homebase without taking damage.
Trailbreaker	Alpha	Trailbreaker	Robot, Autobot	
Wheeljack	Alpha	Wheeljack	Robot, Autobot	
Windcharger	Alpha	Windcharger	Robot, Autobot	
Astrotrain	Alpha	Astrotrain	Robot, Decepticon	TRAIN MODE) Energy Transport: While Astrotrain is on a resource, gain additional +3E per turn.                    SHUTTLE MODE) (Put a counter on Astrotrain to represent SHUTTLE MODE.) Troop Transport [3E] Allow any one Robot to join battle.
Blitzwing	Alpha	Blitzwing	Robot, Decepticon	TANK MODE) Tank Slam: Gain +2 STR if transforming from JET MODE.                    JET MODE) (Put a counter on Blitzwing to represent JET MODE.)
Bombshell (Insecticon)	Alpha	Bombshell_	Robot, Decepticon	INSECT MODE) Cerebro-Shell [4E] Take control of any one Robot for one turn.  Play does not gain Energon from resources controlled by affected Robot.
Bonecrusher (Constructicon)	Alpha	Bonecrusher_	Robot, Decepticon	VEHICLET MODE) Crushing Speed [2E] From the field, deal 2 damage to any robot in the field.
Buzzsaw	Alpha	Buzzsaw	Robot, Decepticon	CASSETTE MODE) While in CASSETTE MODE, place in set aside area.
Devastator (Constructicon)	Alpha	Devastator_	Robot, Decepticon	SUB-GROUP MODE) Return all six Contructicons to Devastator's location and set aside Devastator.
Dirge	Alpha	Dirge	Robot, Decepticon	
Frenzy	Alpha	Frenzy	Robot, Decepticon	CASSETTE MODE) While in CASSETTE MODE, place in set aside area.
Hook (Constructicon)	Alpha	Hook_	Robot, Decepticon	
Kickback (Insecticon)	Alpha	Kickback_	Robot, Decepticon	
Laserbeak	Alpha	Laserbeak	Robot, Decepticon	CASSETTE MODE) While in CASSETTE MODE, place in set aside area.
Long Haul (Constructicon)	Alpha	Long_Haul_	Robot, Decepticon	VEHICLET MODE) Heat Seeking Missiles [3E] From the field, deal 2 damage to any Robot in th field.
Megatron	Alpha	Megatron	Robot, Decepticon	GUN MODE) Deadly Sidearm [7E] Attach to any target Robot. Target Robot gains +7 STR.  If this Robot takes damage, return Megatron to Homebase.
Mixmaster (Constructicon)	Alpha	Mixmaster_	Robot, Decepticon	VEHICLET MODE) Chemical Mixing Drum [4E] Decepticon Support Limit is +1.
Ramjet	Alpha	Ramjet	Robot, Decepticon	JET MODE) Mid-Air Collision [2E] In battle, deal 3 damage to any target robot.
Ravage	Alpha	Ravage	Robot, Decepticon	CASSETTE MODE) While in CASSETTE MODE, place in set aside area.
Rumble	Alpha	Rumble	Robot, Decepticon	CASSETTE MODE) While in CASSETTE MODE, place in set aside area.
Scavenger (Constructicon)	Alpha	Scavenger_	Robot, Decepticon	VEHICLET MODE) Shovel Sensors [3E] Look through Supply Deck and place any one Advantage or Resource in hand.
Scrapper (Constructicon)	Alpha	Scrapper_	Robot, Decepticon	VEHICLET MODE) Recycle Autobots: When an Autobot is scrapped, scrap a card from your hand to add that Autobot's Energon cost to your Decepticon Energon Bank.
Shockwave	Alpha	Shockwave	Robot, Decepticon	
Shrapnel (Insecticon)	Alpha	Shrapnel_	Robot, Decepticon	INSECT MODE) Electrical Control [2E] In battle, take control of any Advantage and use it in current battle.
Skywarp	Alpha	Skywarp	Robot, Decepticon	JET MODE) Sneaky Withdrawl [3E] Escape battle and return to Homebase without taking damage.
Soundwave	Alpha	Soundwave	Robot, Decepticon	TAPEDECK MODE) Recording Device [2E] Look at opponent's hand.
Spectro	Alpha	Spectro	Robot, Decepticon	CAMERA MODE) Reflector: If VIEWFINDER and SPYGLASS are at the same location and in CAMERA MODE, pay 1E to look at the top three cards of any Supply Deck.
Spyglass	Alpha	Spyglass	Robot, Decepticon	CAMERA MODE) Reflector: If SPECTRO and VIEWFINDER are at same location and in CAMERA MODE, pay 1E to look at the top three cards of any Supply Deck.
Starscream	Alpha	Starscream	Robot, Decepticon	JET MODE) Cluster Bomb [3E] In battle, scrap any one Advantage used in battle.
Thundercracker	Alpha	Thundercracker	Robot, Decepticon	JET MODE) Sonic Boom [3E] In battle, give all opponent robot -2 STR.
Trust	Alpha	Trust	Robot, Decepticon	JET MODE) Destructive Speed [4E] Decepticon Support Limit is +1.
Viewfinder	Alpha	Viewfinder	Robot, Decepticon	CAMERA MODE) Reflector: If SPECTRO and SPYGLASS are at same location and in CAMERA MODE, pay 1E to look at the top three cards of any Supply Deck.
